"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"373",2.82255300078879e-50,0.667720400881797,0.477,0.075,6.73122439628111e-46,"0","HRH2"
"374",3.03286858973824e-50,0.678026177407891,0.567,0.114,7.23278501280776e-46,"0","ACER3"
"375",3.59081116192985e-50,0.803849179914654,0.758,0.255,8.5633664589703e-46,"0","TMEM167A"
"376",3.79360770816718e-50,0.691404265489657,0.531,0.1,9.04699566243709e-46,"0","GAA"
"377",4.1041693228515e-50,0.916351663577292,0.863,0.372,9.78762300113627e-46,"0","CASP1"
"378",1.13737972048735e-49,0.71011581943072,0.617,0.144,2.71242315741823e-45,"0","GRK3"
"379",1.14884920443828e-49,0.652165516550205,0.538,0.102,2.73977558274442e-45,"0","METRNL"
"380",2.89479979938106e-49,0.747544711103792,0.996,0.94,6.90351856156396e-45,"0","SH3BGRL3"
"381",5.68552580510341e-49,0.595374437630379,0.498,0.086,1.35588419400106e-44,"0","MGST2"
"382",6.7300106370793e-49,0.692455039713433,0.596,0.133,1.60497293673067e-44,"0","AC090559.1"
"383",9.47274374830766e-49,0.906155473217143,0.809,0.305,2.25905992909641e-44,"0","RNF149"
"384",1.03924526950155e-48,0.477008115986413,0.347,0.027,2.47839211870729e-44,"0","SIRPB2"
"385",1.48512260789986e-48,0.717531439297163,0.628,0.164,3.54172039531959e-44,"0","OTULINL"
"386",1.61827745518096e-48,0.824344997910388,0.769,0.268,3.85926807511554e-44,"0","ZYX"
"387",1.82210624188147e-48,0.557733211556284,0.426,0.057,4.34535896563892e-44,"0","MEFV"
"388",2.26789485945791e-48,0.544386123144623,0.444,0.062,5.40847566083522e-44,"0","ADAP2"
"389",2.31955699439254e-48,0.561794583357536,0.419,0.053,5.53167952022734e-44,"0","RASGRP4"
"390",4.14438260183294e-48,0.88769898734005,0.762,0.319,9.8835236288512e-44,"0","CCDC88A"
"391",5.33362574253202e-48,0.551225097956542,0.383,0.042,1.27196306707904e-43,"0","AC009951.4"
"392",6.85541312396176e-48,0.650112295733121,0.56,0.119,1.6348789218024e-43,"0","CTNNA1"
"393",7.08576905677992e-48,0.634456522522088,0.48,0.085,1.68981420466088e-43,"0","ACSL4"
"394",7.20936800451223e-48,0.780655674312607,0.729,0.244,1.71929008171608e-43,"0","SNX27"
"395",8.67738436651837e-48,0.590986053306989,0.502,0.093,2.0693826237273e-43,"0","ZSWIM6"
"396",9.9858888036199e-48,0.83030613196006,0.809,0.346,2.38143476188727e-43,"0","LAPTM4A"
"397",1.22579662607817e-47,0.472106514495546,0.39,0.042,2.92327979387121e-43,"0","SMARCD3"
"398",1.64267848179939e-47,0.779970611343003,0.646,0.187,3.91745964339518e-43,"0","HEXB"
"399",2.78341562156782e-47,0.616139733881568,0.617,0.137,6.63788957431494e-43,"0","CX3CR1"
"400",3.93001808831169e-47,0.654898815910701,0.542,0.113,9.37230713700572e-43,"0","SLC6A6"
"401",4.1269999147422e-47,0.63984382492329,0.437,0.061,9.84206939667721e-43,"0","APOBEC3A"
"402",4.98137366410211e-47,0.649570541449664,0.516,0.105,1.18795799141507e-42,"0","MXD1"
"403",6.41708701621071e-47,0.827931811513289,0.523,0.111,1.53034691162593e-42,"0","ABHD5"
"404",6.82907280073192e-47,0.634615322457289,0.538,0.116,1.62859728151855e-42,"0","ATP11A"
"405",9.43910409506803e-47,0.716085493423562,0.621,0.165,2.25103754459182e-42,"0","PDXK"
"406",1.06728524259986e-46,0.667440182866344,0.451,0.071,2.54526184655215e-42,"0","S1PR3"
"407",1.09786229785473e-46,0.570598643176911,0.408,0.053,2.61818200792397e-42,"0","CSF2RB"
"408",1.22344965616839e-46,0.626527065958392,0.527,0.108,2.91768274003037e-42,"0","AGTPBP1"
"409",1.54701530222857e-46,0.900164959112328,0.863,0.482,3.68932209275468e-42,"0","PGAM1"
"410",1.63495670269736e-46,0.580648458834781,0.419,0.061,3.89904474459266e-42,"0","JDP2"
"411",2.26103557832805e-46,0.504881473234142,1,1,5.39211764719674e-42,"0","EIF1"
"412",2.29960936142207e-46,0.836281298134908,0.542,0.122,5.48410840511935e-42,"0","SCO2"
"413",2.3285171225793e-46,0.891741029637427,0.856,0.399,5.55304763392711e-42,"0","UBE2R2"
"414",2.48813253178987e-46,0.474165792017261,0.383,0.042,5.93369846181249e-42,"0","GM2A"
"415",2.82948495015936e-46,0.452632536057981,0.339,0.028,6.74775570914005e-42,"0","CLEC4A"
"416",2.95226548238807e-46,0.859052364485021,0.809,0.335,7.04056272239907e-42,"0","CAT"
"417",3.14262099743698e-46,0.458588714726337,0.285,0.011,7.49452255468772e-42,"0","FBN2"
"418",3.68822786915031e-46,0.825791537993494,0.798,0.307,8.79568582234966e-42,"0","HSBP1"
"419",4.08151505062945e-46,0.656136495923336,0.484,0.091,9.7335970927411e-42,"0","MOSPD2"
"420",4.9939873569953e-46,0.598225178904734,0.386,0.046,1.19096610489624e-41,"0","ATF3"
"421",6.84697570371443e-46,0.666627803305213,0.993,0.942,1.63286676582182e-41,"0","ARPC2"
"422",7.14567959481501e-46,0.830114832545544,0.791,0.301,1.70410166977148e-41,"0","POLE4"
"423",1.0263834415149e-45,0.663828852154499,0.599,0.152,2.44771923132473e-41,"0","TNRC18"
"424",1.73094974147982e-45,0.699182046408228,0.639,0.177,4.12796894348107e-41,"0","RNPEP"
"425",1.82241366619184e-45,0.793864010331595,0.83,0.368,4.3460921111343e-41,"0","HEBP2"
"426",1.92319435426156e-45,0.786340329837414,0.968,0.704,4.58643389604297e-41,"0","ARPC5"
"427",2.03453186104989e-45,0.748011820342535,0.989,0.839,4.85195158223177e-41,"0","SERP1"
"428",2.05661559471374e-45,0.495488759793433,0.336,0.029,4.90461687027333e-41,"0","S100Z"
"429",2.56880697665618e-45,0.796910914081461,0.87,0.339,6.12609087792966e-41,"0","PLEK"
"430",5.13981806491323e-45,0.681262883087497,0.61,0.156,1.22574381212051e-40,"0","UBXN11"
"431",7.32269301659862e-45,0.542218754621502,0.422,0.062,1.74631583059844e-40,"0","AL034397.3"
"432",7.90887838074611e-45,0.646171837019075,0.549,0.121,1.88610931624033e-40,"0","PLSCR1"
"433",8.19992335386492e-45,0.740615442606655,0.841,0.386,1.95551772142971e-40,"0","GSTO1"
"434",8.54565437622734e-45,0.642955159804513,0.567,0.133,2.0379676556427e-40,"0","AGO4"
"435",9.76543089231267e-45,0.449550152500014,0.303,0.019,2.32885995919873e-40,"0","KBTBD11"
"436",9.96353200094801e-45,0.458795471251456,0.39,0.048,2.37610311158608e-40,"0","DUSP3"
"437",1.23493584251175e-44,0.536363763244099,0.44,0.067,2.94507499722202e-40,"0","EVI5"
"438",1.83599890329008e-44,0.820211508870723,0.744,0.254,4.37849018456619e-40,"0","SKAP2"
"439",2.1918309386815e-44,0.741523247268795,0.729,0.244,5.22707842256764e-40,"0","LAT2"
"440",3.32990271045965e-44,0.563612063803253,0.426,0.066,7.94115198390417e-40,"0","ZNF516"
